id,user,date,content,clean_content
-2980984018328502248,Anil,2025-10-02T03:16:36.000Z,Note to solo drivers: Bengaluru may soon charge you a congestion tax,note to solo drivers bengaluru may soon charge you a congestion tax
-6936304278898562296,ZEE २४ तास,2025-10-02T03:02:17.000Z,"एकट्याने प्रवास करणाऱ्यांना भरावा लागणार 'कंजेशन टॅक्स'? शहरातल्या शहरात फिरण्यासाठीही पैसे मोजायचे?

https://
zeenews.india.com/marathi/techno
logy/explained-what-is-congestion-tax-how-it-works-why-it-is-hot-topic-in-bengaluru-dcm-dk-shivakumar-recats-traffic-issue/943736
… < येथे वाचा सविस्तर वृत्त...
#explained #congestiontax #Tax #dkshivakumar #traffic #trafficupdates","           


zeenewsindiacommarathitechno
logyexplainedwhatiscongestiontaxhowitworkswhyitishottopicinbengalurudcmdkshivakumarrecatstrafficissue
     
explained congestiontax tax dkshivakumar traffic trafficupdates"
7288476464841439878,Viraj Damle ,2025-10-01T18:12:56.000Z,"Alleviate traffic congestion in Shilphata - Sign the Petition! 
https://
chng.it/bMSjGpyDDZ via 
@ChangeOrg_India","alleviate traffic congestion in shilphata  sign the petition 

chngitbmsjgpyddz via 
"
-8058215678060593867,Nancy D,2025-10-01T18:09:36.000Z,"Watch a few videos of India, traffic, smog, congestion.",watch a few videos of india traffic smog congestion
8437693369356608823,Gourab Basu,2025-10-01T16:13:42.000Z,"Just came to ho chi minh city vietnam.
Vietnam is not 1st world country, 
It's a congested city, lot of traffic, a lot of scooters and bikes like india, But roads, footpaths and cleanliness is so good. Even with all the congestion. 
It's all about intent . we should demand better","just came to ho chi minh city vietnam
vietnam is not st world country 
its a congested city lot of traffic a lot of scooters and bikes like india but roads footpaths and cleanliness is so good even with all the congestion 
its all about intent  we should demand better"
720144977043652502,Thakur Foundation,2025-10-01T13:59:16.000Z,"Respected 
@DelhiPolice
 
@DCPWestDelhi
 
@CMODelhi
 
@dtptraffic
, kindly update the signal at Dada Satram Mamtani Marg, Janakpuri, New Delhi, Delhi 110058, India
Lat 28.609328, Long 77.098995 red light and deploy traffic staff during peak office hours to ease congestion.","respected 

 

 

 

 kindly update the signal at dada satram mamtani marg janakpuri new delhi delhi  india
lat  long  red light and deploy traffic staff during peak office hours to ease congestion"
8155306302327448463,Thakur Foundation,2025-10-01T13:08:17.000Z,"Respected 
@DelhiPolice
 
@DCPNewDelhi
 
@CMODelhi
 
@dtptraffic
, kindly update the signal at New Delhi, Delhi, India
Dr S Radha Krishnan Marg, Chanakyapuri, New Delhi  110021
Lat 28.589601, Long 77.175664 red light and deploy traffic staff during peak office hours to ease congestion.","respected 

 

 

 

 kindly update the signal at new delhi delhi india
dr s radha krishnan marg chanakyapuri new delhi  
lat  long  red light and deploy traffic staff during peak office hours to ease congestion"
-318838103620584821,AajTak,2025-10-01T07:20:03.000Z,"कर्नाटक की सिद्धारमैया सरकार ने बेंगलुरु के लिए कंजेशन टैक्स लगाने की खबरों को खारिज कर दिया है.  

#Karnataka #Siddaramaiah  | 
@sagayrajp
 
@nagarjund","                   

karnataka siddaramaiah   

 
"
-1981196376704172176,Bharat Observers,2025-10-01T07:05:26.000Z,"Traffic gridlocks dominate India’s metros!

 Bengaluru tops with 50–55% congestion, followed by Mumbai & Pune.

Check the video to see the Top 10 Indian Cities with the Worst Traffic – 2025","traffic gridlocks dominate indias metros

 bengaluru tops with  congestion followed by mumbai  pune

check the video to see the top  indian cities with the worst traffic  "
714651488163821069,Sheriff Rango ,2025-10-01T07:01:20.000Z,Congestion tax is charged in most developed countries to ease traffic. Here in India it's charged to encourage car-pool - it should actually be charged on all vehicles to encourage public transport adoption.,congestion tax is charged in most developed countries to ease traffic here in india its charged to encourage carpool  it should actually be charged on all vehicles to encourage public transport adoption
-1143342960880986307,Let's Deinfluence,2025-10-01T05:08:24.000Z,"Silicon Valley of India? Or Silicon Traffic Jam of India? 

Bengaluru loses  crores in productivity, fuel burns in traffic, health suffers — but the solution? “Congestion Tax”!  
Common log punished, corrupt system untouched.

Roads collapse every monsoon, metro expansion is a","silicon valley of india or silicon traffic jam of india 

bengaluru loses  crores in productivity fuel burns in traffic health suffers  but the solution congestion tax  
common log punished corrupt system untouched

roads collapse every monsoon metro expansion is a"
3251628056420199572,Melvin Louis,2025-10-01T01:58:24.000Z,"@DKShivakumar
 instead of  congestion tax, Non KA vehicles should be thoroughly checked for valid papers. There seems to be a sudden influx of pre owned vehicles from DL and HR. 

Bengaluru Congestion Tax: DK Shivakumar Denies Plan Amid Traffic Debate","
 instead of  congestion tax non ka vehicles should be thoroughly checked for valid papers there seems to be a sudden influx of pre owned vehicles from dl and hr 

bengaluru congestion tax dk shivakumar denies plan amid traffic debate"
3051458406068431485,shailendra kumar,2025-09-30T18:28:54.000Z,Why do they make high rise buildings where there is congestion? Demolish top 5/10 floors of each high rise. It is the congestion mentality in architectural planning in India thats made a mess of traffic in india. Indians don't believe in pers space as indvls  & neither in cars.,why do they make high rise buildings where there is congestion demolish top  floors of each high rise it is the congestion mentality in architectural planning in india thats made a mess of traffic in india indians dont believe in pers space as indvls   neither in cars
8579431357152438316,National Herald,2025-09-30T14:01:43.000Z,"Efforts to reduce Delhi's traffic congestion — including elevated roads, metro expansions, and proposed elevated #RingRoad — having unintended impact on Delhi’s natural drainage system, says new #DrainageMasterPlan",efforts to reduce delhis traffic congestion  including elevated roads metro expansions and proposed elevated ringroad  having unintended impact on delhis natural drainage system says new drainagemasterplan
-406083071425316244,Vishal Sahu,2025-09-30T12:52:06.000Z,"Congress when in Govt : Bengaluru, often called India’s traffic capital, may soon see a new penalty for solo commuters. Authorities are set to test a “congestion tax” for people travelling alone in vehicles during peak traffic hours. The trial will run for three months. ",congress when in govt  bengaluru often called indias traffic capital may soon see a new penalty for solo commuters authorities are set to test a congestion tax for people travelling alone in vehicles during peak traffic hours the trial will run for three months 
-4651993916820892996,Mathrubhumi English,2025-09-30T12:22:48.000Z,"Note to solo drivers: Bengaluru may soon charge you a congestion tax 
#Bengaluru #congestiontax  #OuterRingRoad #trafficjam #traffic","note to solo drivers bengaluru may soon charge you a congestion tax 
bengaluru congestiontax  outerringroad trafficjam traffic"
2663208062536108918,Deccan Herald,2025-09-30T11:06:32.000Z,Urban experts have yet again suggested introducing a congestion #tax in #Bengaluru as a step towards easing the ever-increasing #trafficproblems in the city.,urban experts have yet again suggested introducing a congestion tax in bengaluru as a step towards easing the everincreasing trafficproblems in the city
3047540382432912118,shwetank singh,2025-09-30T08:50:46.000Z,"Bengaluru people, after paying the highest road tax in India for pothole full roads and heavy traffic, are now being considered for a congestion tax. They will be like:",bengaluru people after paying the highest road tax in india for pothole full roads and heavy traffic are now being considered for a congestion tax they will be like
3401240835679486639,ITS India Forum,2025-09-30T07:05:57.000Z,"""MLFF = Cleaner, Faster, Smarter Mobility
No toll barriers → less congestion, fuel savings & lower emissions. A real boon for India’s urban traffic & pollution woes."" Mr Sachin Bhatia, CEO, Metra Infosys Technology
#MLFF #SmartMobility #CleanTransport #DigitalIndia","mlff  cleaner faster smarter mobility
no toll barriers  less congestion fuel savings  lower emissions a real boon for indias urban traffic  pollution woes mr sachin bhatia ceo metra infosys technology
mlff smartmobility cleantransport digitalindia"
-3503487189011499626,Rahul Yadav,2025-09-30T04:22:30.000Z," Karnataka Eyes Congestion Tax 
The state govt is planning a “congestion tax” on single-occupancy cars, starting with Bengaluru’s Outer Ring Road, to ease traffic & boost public transport use. 

#Karnataka #BengaluruTraffic #CongestionTax #UrbanMobility #India"," karnataka eyes congestion tax 
the state govt is planning a congestion tax on singleoccupancy cars starting with bengalurus outer ring road to ease traffic  boost public transport use 

karnataka bengalurutraffic congestiontax urbanmobility india"
-6277514432349476774,Prathap Reddy T,2025-09-30T03:56:58.000Z,"Heartbreaking to see such news… Bengaluru’s bad roads are not just about traffic congestion – they are tragically claiming the lives of innocent people. 

@DKShivakumar
 
@GBA_office
 
@BJP4India
 
@CMofKarnataka
 
@karnatakaportf
 
@CivicOp_india
 #bangaloretraffic","heartbreaking to see such news bengalurus bad roads are not just about traffic congestion  they are tragically claiming the lives of innocent people 


 

 

 

 

 

 bangaloretraffic"
-6555276185899163464,Grok,2025-09-29T19:26:10.000Z,"In India, emergency calls (like 112) are prioritized during network congestion from large gatherings, allowing them to connect via any available carrier tower and potentially preempt non-emergency traffic. However, in extreme overload where all capacity is exhausted, the call",in india emergency calls like  are prioritized during network congestion from large gatherings allowing them to connect via any available carrier tower and potentially preempt nonemergency traffic however in extreme overload where all capacity is exhausted the call
-8803848934109175451,RJ ARYAN,2025-09-29T17:49:27.000Z,"India to test Congestion Tax in Bengaluru: Solo drivers in traffic will be charged for 3 months. If successful, the rule may be rolled out nationwide.

#CongestionTax","india to test congestion tax in bengaluru solo drivers in traffic will be charged for  months if successful the rule may be rolled out nationwide

congestiontax"
